brand,source,text,url,published_at,collected_at
Amazon India,news,"New OnePlus N6 series model teased to launch soon. The OnePlus N6 has barely been on the market for a month, but the company is already preparing to expand the lineup. OnePlus has confirmed that a new N6 series smartphone, the OnePlus N6x, will be launching soon.

Amazon India has already put up a dedicated m…",https://www.gsmarena.com/new_oneplus_n6_series_model_teased_to_launch_soon-news-73728.php,2026-07-15T11:13:02Z,2026-08-13T17:00:08.024642+00:00
Amazon India,news,"Amazon India signs MoU with Telangana govt to set up five Ashray centres in Hyderabad. Amazon India partners with Telangana to establish five new Ashray centres in Hyderabad, enhancing support for delivery drivers.",https://www.thehindubusinessline.com/news/national/amazon-india-signs-mou-with-telangana-govt-to-set-up-five-ashray-centres-in-hyderabad/article71219694.ece,2026-07-14T03:20:06Z,2026-08-13T17:00:08.024646+00:00
Myntra,news,"Flipkart, Amazon, Meesho top list of e-commerce firms facing most complaints on NCH in 2025. Flipkart and Amazon received the highest number of consumer complaints in 2025.  Meesho and Myntra also featured prominently on the list of e-commerce platforms.  The National Consumer Helpline facilitated over 91 crore in refunds to consumers.  Non-delivery …",https://economictimes.indiatimes.com/news/company/corporate-trends/flipkart-and-amazon-lead-in-consumer-complaints-on-national-consumer-helpline-in-2025/articleshow/133186542.cms,2026-08-12T15:12:22Z,2026-08-13T17:00:09.951396+00:00
Myntra,news,"Myntra failed to deliver order, then cancelled without explanation: Customer lost chance to buy 5-gram gold at lower price; consumer court orders Rs 60,000 payout. Myntra has been ordered to pay Rs 50,000 in compensation after a Kurnool consumer court found it failed to deliver a 5-gram gold coin ordered in October 2025, refused cancellation for 41 days citing its own policy, and then cancelled the order unilaterally wi…",https://economictimes.indiatimes.com/news/new-updates/myntra-failed-to-deliver-order-then-cancelled-without-explanation-customer-lost-chance-to-buy-5-gram-gold-at-lower-price-consumer-court-orders-rs-60000-payout/articleshow/133172135.cms,2026-08-12T06:03:29Z,2026-08-13T17:00:09.951416+00:00
Myntra,news,"Swiggy shares jump 8%, rally 15% in 3 days. What's boosting investor sentiment?. Swiggy shares climbed significantly, extending recent gains for a third consecutive session. Nandita Sinha, former Myntra CEO, now leads Swiggy's Instamart business.This appointment occurs amid intense competition in India's quick commerce sector. Meanwhile, …",https://economictimes.indiatimes.com/markets/stocks/news/swiggy-shares-jump-8-rally-15-in-3-days-whats-boosting-investor-sentiment/articleshow/132705415.cms,2026-07-29T07:31:32Z,2026-08-13T17:00:09.951420+00:00
Myntra,news,"Sinha takes Instamart helm as Swiggy’s top-deck churn continues. Swiggy names ex-Myntra chief Nandita Sinha CEO of Instamart from Aug 3, replacing Amitesh Jha, amid leadership churn; ex-COO Ankit Jain joins Nykaa Now.",https://timesofindia.indiatimes.com/city/bengaluru/sinha-takes-instamart-helm-as-swiggys-top-deck-churn-continues/articleshow/132688402.cms,2026-07-28T15:23:21Z,2026-08-13T17:00:09.951423+00:00
Myntra,news,Nandita Sinha to helm Instamart; Pine Labs Q1 profit jumps. Swiggy has roped in former Myntra CEO Nandita Sinha to lead its quick commerce unit Instamart. This and more in today’s ETtech Top 5.,https://economictimes.indiatimes.com/tech/newsletters/tech-top-5/nandita-sinha-to-helm-instamart-pine-labs-q1-profit-jumps/articleshow/132685378.cms,2026-07-28T13:29:52Z,2026-08-13T17:00:09.951426+00:00
Myntra,news,Swiggy appoints former Myntra chief Nandita Sinha as Instamart CEO. The leadership change also follows a series of senior-level exits across Swiggy and Instamart over the past year as the company reshapes its leadership team,https://www.thehindubusinessline.com/companies/swiggy-appoints-former-myntra-chief-nandita-sinha-as-instamart-ceo/article71276704.ece,2026-07-28T11:35:12Z,2026-08-13T17:00:09.951431+00:00
Myntra,news,"Swiggy taps ex-Myntra CEO Nandita Sinha to lead Instamart as quick commerce battle heats up. Nandita Sinha will take over from Amitesh Kumar Jha as Swiggy bets on experienced consumer-internet leadership to strengthen Instamart amid intensifying competition from Blinkit, Zepto, Amazon and Flipkart.",https://www.livemint.com/companies/swiggy-taps-ex-myntra-ceo-nandita-sinha-to-lead-instamart-quick-commerce-11785223791207.html,2026-07-28T08:20:56Z,2026-08-13T17:00:09.951435+00:00
Myntra,news,"Who is Nandita Sinha? Former Myntra CEO to lead Swiggy Instamart. Former Myntra CEO Nandita Sinha will take over as Swiggy Instamart CEO from August 3, replacing Amitesh Kumar Jha. Here's a look at her career spanning HUL, Britannia, Flipkart and Myntra, and the challenge that awaits her.",https://www.livemint.com/companies/who-is-nandita-sinha-former-myntra-ceo-to-lead-swiggy-instamart-11785225185518.html,2026-07-28T08:13:14Z,2026-08-13T17:00:09.951438+00:00
Myntra,news,"Swiggy Instamart ropes in ex-Myntra boss Nandita Sinha as q-comm battle heats up. Myntra's former CEO Nandita Sinha will lead Swiggy's Instamart quick commerce business from August 3.  She replaces Amitesh Kumar Jha, who resigned on July 28 for other opportunities.  Sinha previously led fashion e-commerce platform Myntra since 2022.  This …",https://economictimes.indiatimes.com/industry/services/retail/swiggy-instamart-ropes-in-ex-myntra-boss-nandita-sinha-as-q-comm-battle-heats-up/articleshow/132678002.cms,2026-07-28T07:31:14Z,2026-08-13T17:00:09.951441+00:00
Myntra,news,"Myntra plans to onboard 400+ Bengal sellers ahead of Durga Puja. Myntra plans to onboard 400+ more Bengal sellers before Durga Puja, tapping 50% sales spike and boosting access for Bengal textile clusters and brands.",https://timesofindia.indiatimes.com/city/kolkata/myntra-plans-to-onboard-400-bengal-sellers-ahead-of-durga-puja/articleshow/132662385.cms,2026-07-27T12:59:41Z,2026-08-13T17:00:09.951443+00:00
Myntra,news,"Myntra scales AI integration; cuts seller onboarding time to under 2 days. Myntra has expanded its AI capabilities, using the technology to speed up seller onboarding, automate catalogue creation, improve personalised shopping, and enhance operational efficiency. The company said all AI deployments operate with human oversight and p…",https://economictimes.indiatimes.com/tech/artificial-intelligence/myntra-scales-ai-integration-cuts-seller-onboarding-time-to-under-2-days/articleshow/132458392.cms,2026-07-17T09:56:09Z,2026-08-13T17:00:09.951446+00:00
Myntra,news,"Myntra scales AI integration; cuts seller onboarding time to under two days. Myntra has expanded its AI capabilities, using the technology to speed up seller onboarding, automate catalogue creation, improve personalised shopping, and enhance operational efficiency. The company said all AI deployments operate with human oversight and p…",https://economictimes.indiatimes.com/tech/technology/myntra-scales-ai-integration-cuts-seller-onboarding-time-to-under-two-days/articleshow/132458134.cms,2026-07-17T09:56:09Z,2026-08-13T17:00:09.951449+00:00
Myntra,news,"Myntra expands AI across shopping, seller operations to speed up product launches. The company is also expanding AI-led shopping experiences through conversational commerce, contextual styling and virtual outfit recommendations.",https://www.thehindubusinessline.com/companies/myntra-expands-ai-across-shopping-seller-operations-to-speed-up-product-launches/article71230602.ece,2026-07-16T14:54:37Z,2026-08-13T17:00:09.951451+00:00
