brand,source,text,video_id,collected_at
Amazon India,youtube,Bro system design ki resources ?,87ezPLM-8HU,2026-08-13T16:59:41.895946+00:00
Amazon India,youtube,Annna Plz Complete DSA Videos --------------------------------;,87ezPLM-8HU,2026-08-13T16:59:41.895949+00:00
Amazon India,youtube,"Anna, youtube video lo chuupichnatha confidence, interview lo chupincha ledhu Anukunta anna",87ezPLM-8HU,2026-08-13T16:59:41.895952+00:00
Amazon India,youtube,Anna dsa series continue cheyava please mainly graphs trees and backtracking anna,87ezPLM-8HU,2026-08-13T16:59:41.895955+00:00
Amazon India,youtube,"For SDE 2 role, please mention Amazon offered CTC bro",87ezPLM-8HU,2026-08-13T16:59:41.895958+00:00
Amazon India,youtube,Bro offline ah online ah interview,87ezPLM-8HU,2026-08-13T16:59:41.895962+00:00
Amazon India,youtube,Bro nee resume share cheyyi bro,87ezPLM-8HU,2026-08-13T16:59:41.895965+00:00
Amazon India,youtube,Bro niku  anni thelusu I mean anni skills unnayi maaku teach cheyochu kadha pls,87ezPLM-8HU,2026-08-13T16:59:41.895968+00:00
Amazon India,youtube,Hi sir your are in 4th year???,87ezPLM-8HU,2026-08-13T16:59:41.895971+00:00
Amazon India,youtube,Fresher ni system design related questions  adugutara???,87ezPLM-8HU,2026-08-13T16:59:41.895974+00:00
Myntra,youtube,The Red one is JUST 💋💅🔥✨,YoELTjjPEUY,2026-08-13T16:59:45.375424+00:00
Myntra,youtube,Nice😊🎀,YoELTjjPEUY,2026-08-13T16:59:45.375449+00:00
Myntra,youtube,The Red one is JUST 💋💅🔥✨,YoELTjjPEUY,2026-08-13T16:59:45.375454+00:00
Myntra,youtube,✨🙌🏻,VHRN5LKRlS8,2026-08-13T16:59:47.117983+00:00
Myntra,youtube,Link - https://www.wishlink.com/kshamastyling/post/8016181,CD2JxhqDvOc,2026-08-13T16:59:48.137304+00:00
Myntra,youtube,Wowww 😅,CD2JxhqDvOc,2026-08-13T16:59:48.137318+00:00
Myntra,youtube,You glam in every dress the black one 🦋🦋❤️❤️,WDqow6A7Mec,2026-08-13T16:59:50.803808+00:00
Myntra,youtube,Link plzz,w957e69pTfg,2026-08-13T16:59:52.647895+00:00
Myntra,youtube,Link,w957e69pTfg,2026-08-13T16:59:52.647923+00:00
Myntra,youtube,Super beautiful dress 😍,frH7cZiX7Ks,2026-08-13T16:59:53.466071+00:00
Myntra,youtube,Nice dear❤,frH7cZiX7Ks,2026-08-13T16:59:53.466099+00:00
Myntra,youtube,I literally like you so much u inspire so many hardworking ladies I'm following u on  YouTube since starting all vlogs of you shows how hardworking you are and you inspired me to think high all the very best for everything and do more vlogs like this🎉,5EBTpuRIOo8,2026-08-13T16:59:55.102586+00:00
Myntra,youtube,You are a such a great inspiration,5EBTpuRIOo8,2026-08-13T16:59:55.102633+00:00
Myntra,youtube,I miss your vlog please make more videos and I love you akka stay happy always keep smiling ❤❤❤❤❤❤,5EBTpuRIOo8,2026-08-13T16:59:55.102638+00:00
Myntra,youtube,I really like you chaitra and you are the most hard working women and I like the style your way of talking are tooo good 😊,5EBTpuRIOo8,2026-08-13T16:59:55.102641+00:00
Myntra,youtube,Daily vlog chai ❤❤❤❤,5EBTpuRIOo8,2026-08-13T16:59:55.102644+00:00
Myntra,youtube,First comment,5EBTpuRIOo8,2026-08-13T16:59:55.102648+00:00
Myntra,youtube,Ur hair cut style name,5EBTpuRIOo8,2026-08-13T16:59:55.102651+00:00
Myntra,youtube,Link,mxg28cXsD0g,2026-08-13T16:59:55.919887+00:00
Myntra,youtube,Mai 1 lkah de sakta hu❤,CqNkrRKhb9Q,2026-08-13T16:59:56.843998+00:00
Myntra,youtube,beautiful,loeD4EIUb-8,2026-08-13T16:59:57.660367+00:00
