brand,source,text,video_id,collected_at,url,published_at,compound_score,sentiment
Amazon India,youtube,Bro nee resume share cheyyi bro,87ezPLM-8HU,2026-08-13T16:59:41.895965+00:00,,,0.296,Positive
Amazon India,youtube,Bro niku anni thelusu I mean anni skills unnayi maaku teach cheyochu kadha pls,87ezPLM-8HU,2026-08-13T16:59:41.895968+00:00,,,0.0772,Positive
Amazon India,youtube,Hi sir your are in 4th year???,87ezPLM-8HU,2026-08-13T16:59:41.895971+00:00,,,0.0,Neutral
Amazon India,youtube,Fresher ni system design related questions adugutara???,87ezPLM-8HU,2026-08-13T16:59:41.895974+00:00,,,0.0,Neutral
Myntra,youtube,The Red one is JUST 💋💅🔥✨,YoELTjjPEUY,2026-08-13T16:59:45.375424+00:00,,,0.4019,Positive
Myntra,youtube,Nice😊🎀,YoELTjjPEUY,2026-08-13T16:59:45.375449+00:00,,,0.8316,Positive
Myntra,youtube,✨🙌🏻,VHRN5LKRlS8,2026-08-13T16:59:47.117983+00:00,,,0.3182,Positive
Myntra,youtube,Link -,CD2JxhqDvOc,2026-08-13T16:59:48.137304+00:00,,,0.0,Neutral
Myntra,youtube,Wowww 😅,CD2JxhqDvOc,2026-08-13T16:59:48.137318+00:00,,,0.3612,Positive
Myntra,youtube,You glam in every dress the black one 🦋🦋❤️❤️,WDqow6A7Mec,2026-08-13T16:59:50.803808+00:00,,,0.0,Neutral
Myntra,youtube,Link plzz,w957e69pTfg,2026-08-13T16:59:52.647895+00:00,,,0.0,Neutral
Myntra,youtube,Link,w957e69pTfg,2026-08-13T16:59:52.647923+00:00,,,0.0,Neutral
Myntra,youtube,Super beautiful dress 😍,frH7cZiX7Ks,2026-08-13T16:59:53.466071+00:00,,,0.8957,Positive
Myntra,youtube,Nice dear❤,frH7cZiX7Ks,2026-08-13T16:59:53.466099+00:00,,,0.8625,Positive
Myntra,youtube,I literally like you so much u inspire so many hardworking ladies I'm following u on YouTube since starting all vlogs of you shows how hardworking you are and you inspired me to think high all the very best for everything and do more vlogs like this🎉,5EBTpuRIOo8,2026-08-13T16:59:55.102586+00:00,,,0.9641,Positive
Myntra,youtube,You are a such a great inspiration,5EBTpuRIOo8,2026-08-13T16:59:55.102633+00:00,,,0.8176,Positive
Myntra,youtube,I miss your vlog please make more videos and I love you akka stay happy always keep smiling ❤❤❤❤❤❤,5EBTpuRIOo8,2026-08-13T16:59:55.102638+00:00,,,0.9904,Positive
Myntra,youtube,I really like you chaitra and you are the most hard working women and I like the style your way of talking are tooo good 😊,5EBTpuRIOo8,2026-08-13T16:59:55.102641+00:00,,,0.91,Positive
Myntra,youtube,Daily vlog chai ❤❤❤❤,5EBTpuRIOo8,2026-08-13T16:59:55.102644+00:00,,,0.9571,Positive
Myntra,youtube,First comment,5EBTpuRIOo8,2026-08-13T16:59:55.102648+00:00,,,0.0,Neutral
Myntra,youtube,Ur hair cut style name,5EBTpuRIOo8,2026-08-13T16:59:55.102651+00:00,,,-0.2732,Negative
Myntra,youtube,Mai 1 lkah de sakta hu❤,CqNkrRKhb9Q,2026-08-13T16:59:56.843998+00:00,,,0.6369,Positive
Myntra,youtube,beautiful,loeD4EIUb-8,2026-08-13T16:59:57.660367+00:00,,,0.5994,Positive
Flipkart,news,"Flipkart, Amazon, Meesho top list of e-commerce firms facing most complaints on NCH in 2025. Flipkart and Amazon received the highest number of consumer complaints in 2025. Meesho and Myntra also featured prominently on the list of e-commerce platforms. The National Consumer Helpline facilitated over 91 crore in refunds to consumers. Non-delivery …",,2026-08-13T17:00:06.788930+00:00,https://economictimes.indiatimes.com/news/company/corporate-trends/flipkart-and-amazon-lead-in-consumer-complaints-on-national-consumer-helpline-in-2025/articleshow/133186542.cms,2026-08-12T15:12:22Z,-0.2944,Negative
Flipkart,news,"Flipkart Esop case: Could a buyback of unexercised options mean lower tax bill?. The ruling does not automatically make every unexercised Esop buyback tax-efficient, say experts.",,2026-08-13T17:00:06.788953+00:00,https://www.livemint.com/money/personal-finance/flipkart-esop-buyback-tax-ltcg-salary-income-itat-ruling-11786518301770.html,2026-08-12T08:45:40Z,-0.296,Negative
Flipkart,news,"Accel bets $550 million on India's next wave of founders for AI era. Venture capital firm behind Flipkart and Swiggy closes ninth India fund as part of a record $3.5 billion global raise, betting AI lets homegrown startups build for the world from day one",,2026-08-13T17:00:06.788958+00:00,https://www.business-standard.com/companies/news/accel-bets-550-million-on-india-s-next-wave-of-founders-for-ai-era-126081101831_1.html,2026-08-12T00:30:16Z,0.0,Neutral
Flipkart,news,"Flipkart deepens Tamil Nadu partnership, expands digital commerce, tech. Flipkart on Tuesday said it is deepening its partnership with the Tamil Nadu government as the e-commerce major expands its digital commerce, technology infrastructure and supply-chain operations in the state, connecting manufacturing clusters and small busin…",,2026-08-13T17:00:06.788961+00:00,https://www.business-standard.com/companies/news/flipkart-deepens-tamil-nadu-partnership-expands-digital-commerce-tech-126081100660_1.html,2026-08-11T17:16:45Z,0.2716,Positive
Flipkart,news,"Flipkart deepens Tamil Nadu partnership, expands digital commerce, tech, supply-chain footprint. Flipkart says that nearly 70,000 sellers from TN are using its platform to access customers nationwide, reflecting Tamil Nadu’s importance in the e-commerce giant’s long-term growth story",,2026-08-13T17:00:06.788965+00:00,https://www.thehindubusinessline.com/companies/flipkart-deepens-tamil-nadu-partnership-expands-digital-commerce-tech-supply-chain-footprint/article71331322.ece,2026-08-11T07:00:41Z,0.6705,Positive
Flipkart,news,"iPhone 17 gets Rs 32,585 effective price with exchange offer. The iPhone 17 is listed at Rs 81,900 on Flipkart, with an exchange offer potentially bringing the effective price to Rs 32,585.",,2026-08-13T17:00:06.788968+00:00,https://m.economictimes.com/news/new-updates/iphone-17-gets-rs-32585-effective-price-with-exchange-offer/iphone-17-price-on-flipkart/slideshow/133071001.cms,2026-08-09T16:23:43Z,0.7351,Positive
Flipkart,news,"Apple iPhone 17 price drops to Rs 32,885 on Flipkart? Check Flipkart Freedom Sale offers, exchange deal and bank discounts. Grab the chance to purchase the Apple iPhone 17 at a special price during the Flipkart Freedom Sale. This stunning smartphone showcases a 6.3-inch OLED display driven by Apple's advanced A19 chip. You can enhance your savings further by trading in your iPhone…",,2026-08-13T17:00:06.788971+00:00,https://economictimes.indiatimes.com/news/new-updates/apple-iphone-17-price-drops-to-rs-32885-on-flipkart-check-flipkart-freedom-sale-offers-exchange-deal-and-bank-discounts/articleshow/133061882.cms,2026-08-09T03:48:58Z,0.9493,Positive
Flipkart,news,"Flipkart Minutes enters premium grocery segment, launches pvt label Pykd. The move comes as quick-commerce companies expand beyond everyday grocery products and seek to attract customers with higher-value purchases",,2026-08-13T17:00:06.788973+00:00,https://www.business-standard.com/companies/news/flipkart-minutes-enters-premium-grocery-launches-private-label-pykd-126080800786_1.html,2026-08-08T10:54:28Z,0.5859,Positive
Flipkart,news,"iPhone 17 might get price increase next week, per new rumor - 9to5Mac. iPhone 17 might get price increase next week, per new rumor9to5Mac A future iPhone price hike could make today's Flipkart deals look even betterHindustan Times iPhone 17 Prices Could Rise as Soon as Monday, Rumor ClaimsMacRumors Apple indirectly announced to …",,2026-08-13T17:00:06.788977+00:00,https://slashdot.org/firehose.pl?op=view&amp;id=184897576,2026-08-08T10:13:00Z,0.5574,Positive
Flipkart,news,"Exciting new tablets are landing on Flipkart this Independence Day. Flipkart's much-anticipated Freedom Sale kicks off on August 7th, showcasing an exciting lineup of four new tablets. Among these, the Asus Pad stands out with its vibrant OLED display, enhancing your viewing pleasure. The HP OmniPad 12 offers versatility, eas…",,2026-08-13T17:00:06.788980+00:00,https://economictimes.indiatimes.com/industry/cons-products/exciting-new-tablets-are-landing-on-flipkart-this-independence-day/articleshow/133034365.cms,2026-08-07T13:07:05Z,0.9565,Positive
Flipkart,news,"New tablets coming to Flipkart: What buyers can expect. Business News: Tablets have increasingly moved beyond being secondary screens, with newer models offering features aimed at entertainment, productivity and everyday .",,2026-08-13T17:00:06.788984+00:00,https://timesofindia.indiatimes.com/business/new-tablets-coming-to-flipkart-what-buyers-can-expect/articleshow/133031216.cms,2026-08-07T10:44:00Z,0.4215,Positive
Flipkart,news,"Take a look at the Boltt Ace 5G and Boltt Evo 4G. Back in June we first heard that Fire-Boltt would be expanding into the smartphone space, and yesterday the company officially revealed the launch date for its first Boltt smartphones: August 25. Today, the promo page on Flipkart has been updated with the fi…",,2026-08-13T17:00:06.788987+00:00,https://www.gsmarena.com/take_a_look_at_the_boltt_ace_5g_and_boltt_evo_4g-news-74033.php,2026-08-06T03:01:03Z,0.0,Neutral
Flipkart,news,"Flipkart employee’s ₹2.33 crore ESOP pay-out is LTCG, not salary: ITAT. The Income Tax Appellate Tribunal ruled that vested ESOPs are not taxable as salary until exercised. It held that gains from Flipkart's repurchase of unexercised vested stock options are taxable as long-term capital gains, providing clarity on the tax treatme…",,2026-08-13T17:00:06.788990+00:00,https://economictimes.indiatimes.com/industry/services/retail/flipkart-employees-2-33-crore-esop-pay-out-is-ltcg-not-salary-itat/articleshow/132901698.cms,2026-08-05T07:22:39Z,0.8271,Positive
Flipkart,news,"Flipkart CEO lauds UP’s growth, backs AI vision. Flipkart CEO Kalyan Krishnamurthy meets CM Yogi; vows to deepen Uttar Pradesh partnership, back AI-led development and boost MSME growth.",,2026-08-13T17:00:06.788993+00:00,https://timesofindia.indiatimes.com/city/lucknow/flipkart-ceo-lauds-ups-growth-backs-ai-vision/articleshow/132871611.cms,2026-08-04T19:21:52Z,0.8271,Positive
Amazon India,news,"OnePlus launches new budget phone with up to 2.5 days of battery life. OnePlus has launched the N6x in India, a new entry-level N-series model built around a 7,000 mAh battery. It is available in two storage tiers, with sales starting August 4 on Amazon India.",,2026-08-13T17:00:08.024613+00:00,https://www.notebookcheck.net/OnePlus-launches-new-budget-phone-with-up-to-2-5-days-of-battery-life.1356584.0.html,2026-07-31T08:32:00Z,0.296,Positive
Amazon India,news,"MP’s sarees, spices and handicrafts get ecommerce gateway to global markets. Amazon India and MPIDC sign MoU to boost Madhya Pradesh ecommerce exports via Amazon Global Selling, training MSMEs for global marketplaces, logistics and compliance.",,2026-08-13T17:00:08.024633+00:00,https://timesofindia.indiatimes.com/city/bhopal/mps-sarees-spices-and-handicrafts-get-ecommerce-gateway-to-global-markets/articleshow/132483937.cms,2026-07-18T17:05:53Z,0.6249,Positive
Amazon India,news,"OnePlus confirms new phone amid reported global market exit. A Bloomberg report has added to earlier claims that OnePlus may withdraw from Europe and the US, suggesting that the shutdown could extend to India in 2027 while the brand remains active in China. Meanwhile, an Amazon India microsite has confirmed the upcomin…",,2026-08-13T17:00:08.024638+00:00,https://www.notebookcheck.net/OnePlus-confirms-new-phone-amid-reported-global-market-exit.1343391.0.html,2026-07-16T00:24:00Z,0.6249,Positive
Amazon India,news,"New OnePlus N6 series model teased to launch soon. The OnePlus N6 has barely been on the market for a month, but the company is already preparing to expand the lineup. OnePlus has confirmed that a new N6 series smartphone, the OnePlus N6x, will be launching soon. Amazon India has already put up a dedicated m…",,2026-08-13T17:00:08.024642+00:00,https://www.gsmarena.com/new_oneplus_n6_series_model_teased_to_launch_soon-news-73728.php,2026-07-15T11:13:02Z,0.8126,Positive
Amazon India,news,"Amazon India signs MoU with Telangana govt to set up five Ashray centres in Hyderabad. Amazon India partners with Telangana to establish five new Ashray centres in Hyderabad, enhancing support for delivery drivers.",,2026-08-13T17:00:08.024646+00:00,https://www.thehindubusinessline.com/news/national/amazon-india-signs-mou-with-telangana-govt-to-set-up-five-ashray-centres-in-hyderabad/article71219694.ece,2026-07-14T03:20:06Z,0.6249,Positive
Myntra,news,"Flipkart, Amazon, Meesho top list of e-commerce firms facing most complaints on NCH in 2025. Flipkart and Amazon received the highest number of consumer complaints in 2025. Meesho and Myntra also featured prominently on the list of e-commerce platforms. The National Consumer Helpline facilitated over 91 crore in refunds to consumers. Non-delivery …",,2026-08-13T17:00:09.951396+00:00,https://economictimes.indiatimes.com/news/company/corporate-trends/flipkart-and-amazon-lead-in-consumer-complaints-on-national-consumer-helpline-in-2025/articleshow/133186542.cms,2026-08-12T15:12:22Z,-0.2944,Negative
Myntra,news,"Myntra failed to deliver order, then cancelled without explanation: Customer lost chance to buy 5-gram gold at lower price; consumer court orders Rs 60,000 payout. Myntra has been ordered to pay Rs 50,000 in compensation after a Kurnool consumer court found it failed to deliver a 5-gram gold coin ordered in October 2025, refused cancellation for 41 days citing its own policy, and then cancelled the order unilaterally wi…",,2026-08-13T17:00:09.951416+00:00,https://economictimes.indiatimes.com/news/new-updates/myntra-failed-to-deliver-order-then-cancelled-without-explanation-customer-lost-chance-to-buy-5-gram-gold-at-lower-price-consumer-court-orders-rs-60000-payout/articleshow/133172135.cms,2026-08-12T06:03:29Z,-0.887,Negative
Myntra,news,"Swiggy shares jump 8%, rally 15% in 3 days. What's boosting investor sentiment?. Swiggy shares climbed significantly, extending recent gains for a third consecutive session. Nandita Sinha, former Myntra CEO, now leads Swiggy's Instamart business.This appointment occurs amid intense competition in India's quick commerce sector. Meanwhile, …",,2026-08-13T17:00:09.951420+00:00,https://economictimes.indiatimes.com/markets/stocks/news/swiggy-shares-jump-8-rally-15-in-3-days-whats-boosting-investor-sentiment/articleshow/132705415.cms,2026-07-29T07:31:32Z,0.8176,Positive
Myntra,news,"Sinha takes Instamart helm as Swiggy’s top-deck churn continues. Swiggy names ex-Myntra chief Nandita Sinha CEO of Instamart from Aug 3, replacing Amitesh Jha, amid leadership churn; ex-COO Ankit Jain joins Nykaa Now.",,2026-08-13T17:00:09.951423+00:00,https://timesofindia.indiatimes.com/city/bengaluru/sinha-takes-instamart-helm-as-swiggys-top-deck-churn-continues/articleshow/132688402.cms,2026-07-28T15:23:21Z,0.0,Neutral
Myntra,news,Nandita Sinha to helm Instamart; Pine Labs Q1 profit jumps. Swiggy has roped in former Myntra CEO Nandita Sinha to lead its quick commerce unit Instamart. This and more in today’s ETtech Top 5.,,2026-08-13T17:00:09.951426+00:00,https://economictimes.indiatimes.com/tech/newsletters/tech-top-5/nandita-sinha-to-helm-instamart-pine-labs-q1-profit-jumps/articleshow/132685378.cms,2026-07-28T13:29:52Z,0.5719,Positive
Myntra,news,Swiggy appoints former Myntra chief Nandita Sinha as Instamart CEO. The leadership change also follows a series of senior-level exits across Swiggy and Instamart over the past year as the company reshapes its leadership team,,2026-08-13T17:00:09.951431+00:00,https://www.thehindubusinessline.com/companies/swiggy-appoints-former-myntra-chief-nandita-sinha-as-instamart-ceo/article71276704.ece,2026-07-28T11:35:12Z,0.0,Neutral
Myntra,news,"Swiggy taps ex-Myntra CEO Nandita Sinha to lead Instamart as quick commerce battle heats up. Nandita Sinha will take over from Amitesh Kumar Jha as Swiggy bets on experienced consumer-internet leadership to strengthen Instamart amid intensifying competition from Blinkit, Zepto, Amazon and Flipkart.",,2026-08-13T17:00:09.951435+00:00,https://www.livemint.com/companies/swiggy-taps-ex-myntra-ceo-nandita-sinha-to-lead-instamart-quick-commerce-11785223791207.html,2026-07-28T08:20:56Z,0.1027,Positive
Myntra,news,"Who is Nandita Sinha? Former Myntra CEO to lead Swiggy Instamart. Former Myntra CEO Nandita Sinha will take over as Swiggy Instamart CEO from August 3, replacing Amitesh Kumar Jha. Here's a look at her career spanning HUL, Britannia, Flipkart and Myntra, and the challenge that awaits her.",,2026-08-13T17:00:09.951438+00:00,https://www.livemint.com/companies/who-is-nandita-sinha-former-myntra-ceo-to-lead-swiggy-instamart-11785225185518.html,2026-07-28T08:13:14Z,0.1531,Positive
Myntra,news,"Swiggy Instamart ropes in ex-Myntra boss Nandita Sinha as q-comm battle heats up. Myntra's former CEO Nandita Sinha will lead Swiggy's Instamart quick commerce business from August 3. She replaces Amitesh Kumar Jha, who resigned on July 28 for other opportunities. Sinha previously led fashion e-commerce platform Myntra since 2022. This …",,2026-08-13T17:00:09.951441+00:00,https://economictimes.indiatimes.com/industry/services/retail/swiggy-instamart-ropes-in-ex-myntra-boss-nandita-sinha-as-q-comm-battle-heats-up/articleshow/132678002.cms,2026-07-28T07:31:14Z,-0.25,Negative
Myntra,news,"Myntra plans to onboard 400+ Bengal sellers ahead of Durga Puja. Myntra plans to onboard 400+ more Bengal sellers before Durga Puja, tapping 50% sales spike and boosting access for Bengal textile clusters and brands.",,2026-08-13T17:00:09.951443+00:00,https://timesofindia.indiatimes.com/city/kolkata/myntra-plans-to-onboard-400-bengal-sellers-ahead-of-durga-puja/articleshow/132662385.cms,2026-07-27T12:59:41Z,0.34,Positive
Myntra,news,"Myntra scales AI integration; cuts seller onboarding time to under 2 days. Myntra has expanded its AI capabilities, using the technology to speed up seller onboarding, automate catalogue creation, improve personalised shopping, and enhance operational efficiency. The company said all AI deployments operate with human oversight and p…",,2026-08-13T17:00:09.951446+00:00,https://economictimes.indiatimes.com/tech/artificial-intelligence/myntra-scales-ai-integration-cuts-seller-onboarding-time-to-under-2-days/articleshow/132458392.cms,2026-07-17T09:56:09Z,0.6486,Positive
Myntra,news,"Myntra scales AI integration; cuts seller onboarding time to under two days. Myntra has expanded its AI capabilities, using the technology to speed up seller onboarding, automate catalogue creation, improve personalised shopping, and enhance operational efficiency. The company said all AI deployments operate with human oversight and p…",,2026-08-13T17:00:09.951449+00:00,https://economictimes.indiatimes.com/tech/technology/myntra-scales-ai-integration-cuts-seller-onboarding-time-to-under-two-days/articleshow/132458134.cms,2026-07-17T09:56:09Z,0.6486,Positive
Myntra,news,"Myntra expands AI across shopping, seller operations to speed up product launches. The company is also expanding AI-led shopping experiences through conversational commerce, contextual styling and virtual outfit recommendations.",,2026-08-13T17:00:09.951451+00:00,https://www.thehindubusinessline.com/companies/myntra-expands-ai-across-shopping-seller-operations-to-speed-up-product-launches/article71230602.ece,2026-07-16T14:54:37Z,0.1027,Positive
